Date,Close,Compound,Open,High,Low
11/05/2020,513.76,0,506.56,518.7337,503.45
11/06/2020,514.73,0.0258,515,515.21,502.51
11/09/2020,470.5,0.2732,485.54,495.85,467.26
11/10/2020,480.24,0,470.95,484.6,463.41
11/11/2020,490.76,0,483,491.68,478.26
11/12/2020,486.77,0.4215,491,496.52,480.4255
11/13/2020,482.84,0.3612,486.77,488.94,477.8
11/16/2020,479.1,0.3612,480,485.58,477.3
11/17/2020,480.63,-0.6908,480.12,487.51,478.8525
11/18/2020,481.79,-0.6908,481.95,488.61,477.7212
11/19/2020,484.67,0.5859,482,487.8,480.47
11/20/2020,488.24,0.2023,485.22,494.76,481.57
11/23/2020,476.62,0.5106,490.46,491.15,475.84
11/24/2020,482.88,0,478.84,484.05,475.89
11/25/2020,485,0,485.13,486.9,478.919
11/27/2020,491.36,-0.2263,486.58,493.25,481.845
11/30/2020,490.7,0.4404,490.08,492.55,481.2678
12/01/2020,504.58,0.5023,492.3404,509.47,491.9812
12/02/2020,503.38,0.4215,501.62,506.795,493.5
12/03/2020,497.52,0.0258,502.99,508.77,496.04
12/04/2020,498.31,0,497.5,504.5,493.64
12/07/2020,515.78,0.3818,500.01,517.76,497.77
12/08/2020,512.66,0.2732,517.9,521.4909,505.55
12/09/2020,493.6,0,510.53,514.5,491.29
12/10/2020,501.09,0,494.56,503.77,492.91
12/11/2020,503.22,0.7184,495,503.34,494.85
12/14/2020,522.42,0,505.44,524.1603,501.18
12/15/2020,519.78,0.3818,518.5,524.7,513.56
12/16/2020,524.83,0.34,520.11,527.38,517.69
12/17/2020,532.9,0,529,535.49,526.44
12/18/2020,534.45,0.25,533.2,536.37,526.02
12/21/2020,528.91,0.34,530.05,532.62,521.15
12/22/2020,527.33,0.34,527.69,530.4,520.5
12/23/2020,514.48,0,524.76,526.32,514.2
12/24/2020,513.97,0,515.12,519.345,512.2104
12/28/2020,519.12,0,516.43,523.66,507.13
12/29/2020,530.87,0,519.9,536.5478,515.4801
12/30/2020,524.59,0.6597,530.13,533.2575,523.69
12/31/2020,540.73,0.1779,525.53,545.5,523.1502
01/04/2021,522.86,0.6486,539,540.8,515.085
01/05/2021,520.8,0.1779,521.55,526.78,515.89
01/06/2021,500.49,0.296,511.97,513.0998,499.5
01/07/2021,508.89,0,508.28,516.44,506.42
01/08/2021,510.4,0,511.31,513.24,504.51
01/11/2021,499.1,0,507.84,510.725,497.95
01/12/2021,494.25,0,500,501.09,485.6701
01/13/2021,507.79,0.6249,495.5012,512.3542,493.01
01/14/2021,500.86,0,507.35,514.5,499.58
01/15/2021,497.98,0,500,506.32,495.1
01/19/2021,501.77,0,501,509.25,493.5427
01/20/2021,586.34,-0.3818,565.42,593.2877,556.86
01/21/2021,579.84,-0.3818,582.45,588.75,570.4
01/22/2021,565.17,-0.3818,582.1,583.99,564.35
01/25/2021,556.78,0.4404,567,569.75,548.65
01/26/2021,561.93,0,554.73,567.99,554.06
01/27/2021,523.28,0,550.71,556.4187,515.73
01/28/2021,538.6,0,535.88,553.1482,530.74
01/29/2021,532.39,0.7269,538,541,530.18
02/01/2021,539.04,0,536.79,545.06,531.73
02/02/2021,548.16,0.5106,542.01,555.48,538.935
02/03/2021,539.45,0,550.17,550.48,538.243
02/04/2021,552.16,0,539.81,559.48,537.51
02/05/2021,550.79,0,552.26,554.44,545.4778
02/08/2021,547.92,0.34,555,555,543.7
02/09/2021,559.07,0.34,546,566,543
02/10/2021,563.59,0,562.5,566.65,553.463
02/11/2021,557.59,0.296,564.442,565.93,554.22
02/12/2021,556.52,0,556.94,561.2499,550.85
02/16/2021,557.28,-0.34,557.286,563.63,552.73
02/17/2021,551.34,0.5106,550.99,555.25,543.03
02/18/2021,548.22,0,549,550,538.2265
02/19/2021,540.22,0,548,548.99,538.8132
02/22/2021,533.78,0,534.99,541.79,530.79
02/23/2021,546.15,0,525.004,548.54,518.28
02/24/2021,553.41,0,539.8,556.8499,539.065
02/25/2021,546.7,0,550.27,556.48,535.75
02/26/2021,538.85,0,546.51,553.09,538
03/01/2021,550.64,0.6369,545.573,552.14,542
03/02/2021,547.82,0,553.34,556.99,546.02
03/03/2021,520.7,0.2023,545.93,548.005,517.81
03/04/2021,511.29,0.34,521.5,531.5,507.68
03/05/2021,516.39,0.4404,511.98,517.76,498.7901
03/08/2021,493.33,-0.5859,514.46,518.84,492.85
03/09/2021,506.44,0,507.31,513.11,503.8221
03/10/2021,504.54,0,513.5,518.97,504.25
03/11/2021,523.06,0.5267,512.205,530.235,510.71
03/12/2021,518.02,0,512.5,526.51,506.59
03/15/2021,520.25,0,516.32,520.729,508.03
03/16/2021,524.03,0,524.47,533.42,523.21
03/17/2021,524.44,0.34,522,528.3654,514.3
03/18/2021,504.79,0.4215,516.396,517.9,503.85
03/19/2021,512.18,0,504.96,513.19,501.63
03/22/2021,523.11,0,509.13,529.31,509.13
03/23/2021,535.09,0,529.87,543.12,529.4
03/24/2021,520.81,0.3818,533.78,534.42,520
03/25/2021,502.86,0,516.99,518.53,497
03/26/2021,508.05,0,502.82,508.72,496.68
03/29/2021,513.95,0.128,505.66,518,504.4
03/30/2021,513.39,0.128,510.505,514.41,506.91
03/31/2021,521.66,-0.7964,515.675,528.13,515.44
04/01/2021,539.42,-0.7783,529.93,540.5,527.03
04/05/2021,540.67,-0.8481,540.01,542.85,529.23
04/06/2021,544.53,-0.4215,544.81,554.165,543.3
04/07/2021,546.99,-0.5267,543.5,549.64,541.45
04/08/2021,554.58,-0.5267,551.13,556.899,547.57
04/09/2021,555.31,-0.5267,552.69,556.9,547.11
04/12/2021,552.78,0,551.05,557.98,549.58
04/13/2021,553.73,0.6124,557,559.75,550.3
04/14/2021,540.02,0,554.87,554.87,538.53
04/15/2021,549.22,0.0772,544.17,553.49,542.66
04/16/2021,546.54,0.4927,550.54,551.98,539.51
04/19/2021,554.44,0.0772,546.9,556.44,545.53
04/20/2021,549.57,-0.2023,554.42,563.56,546.3
04/21/2021,508.9,-0.7579,508,515.46,503.6001
04/22/2021,508.78,0.2732,513.82,513.96,500.55
04/23/2021,505.55,0.2023,509.01,509.7,500.7
04/26/2021,510.3,0,506.76,510.48,503
04/27/2021,505.55,0,512.62,512.99,504.5808
04/28/2021,506.52,0,505.2,508.395,503.34
04/29/2021,509,0,507.6,509.29,499
04/30/2021,513.47,0,505,514.55,505
05/03/2021,509.11,0,512.65,518.95,505.2
